no;FileTrail Line_ID;Exploration Archives Line Name;Open Works LINE;SURVEY - for 3D lines
896;2001RM-0005T1-009;283T1-042;MS-07;
897;2001RM-0005T1-009;285R1-088;76MR-01;
898;2001RM-0005T1-009;287T1-029;76MR-02;
899;2001RM-0005T1-009;285T1-075;75058;
900;2001RM-0005T1-009;287R1-043;75061;
901;2001RM-0008T1-073;302T1-038;75054;
902;2001RM-0008T1-073;304R1-089;75026;
903;2001RM-0008T1-073;304T1-076;75029;
904;2001RM-0008T1-073;316R1-092;75030;
905;2001RM-0008T1-073;316T1-067;75033;
906;2001RM-0008T1-073;314T1-041;75034;
907;2001RM-0008T1-073;320T1-111;75030;
908;2001RM-0010T1-107;324T1-056;75033;
909;2001RM-0010T1-107;326R1-095;75034;
910;2001RM-0010T1-107;328T1-110;75042;
911;2001RM-0010T1-107;330T1-035;mt-06;
912;2001RM-0010T1-107;332T1-046;mt-08;
913;2001RM-0010T1-107;901R1-113;mt-09;
914;2001RM-0010T1-107;332R1-047;1097-BJ2;
915;2001RM-0012T1-011;901T1-112;1098-BJ2;
916;2001RM-0012T1-011;902T1-103;1278-BJ2;
917;2001RM-0012T1-011;004R1-003;1290-BJ2;
918;2001RM-0012T1-011;210T1-093;1302-BJ2;
919;2001RM-0012T1-011;SEM-217;98KT-23;
920;2001RM-0012T1-011;SEM-220;98KT-23;
921;2001RM-0012T1-011;SEM-221;98KT-23;
922;2001RM-0014T1-106;SEM-224;98KT-24;
923;2001RM-0014T1-106;SEM-228;GR-16;
924;2001RM-0014T1-106;SEM-232;HX-01;
925;2001RM-0014T1-106;SEM-236;HX-02A;
926;2001RM-0014T1-106;SEM-240;HX-02B;
927;2001RM-0014T1-106;SEM-244;HX-02C;
928;2001RM-0014T1-106;SEM-248;HX-02D;
929;E01MA02_3D;SEM-252;76MR-03;
930;E01MA02_3D;SEM-256;76MR-04;
931;E01MA02_3D;SEM-260;76MR-05;
932;E01MA02_3D;SEM-264;75062;
933;E01MA02_3D;SEM-268;75066;
934;E01MA02_3D;SEM-27;75070;
935;2001RM-0002T1-007;SEM-272;75042;
936;2001RM-0002T1-007;SEM-27A;75046;
937;2001RM-0002T1-007;SEM-6;75054;
938;2001RM-0002T1-007;SEM-91A;75058;
939;2001RM-0002T1-007;SEM-15;75061;
940;2001RM-0002T1-007;SEM-3;75045;
941;2001RM-0002T1-007;SEM-95;75046;
942;2001RM-0004T1-002;SEM91;75053;
